brand,category,image,title,sku,instock,productId,price,description,specifications
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1240041539_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером ME 1020-13 бежевая  ***","ME 1020-13","В наличии",739095130,258272,"ТИП  2в1 (качалка-шезлонг)   ВОЗРАСТ от 0 месяцев   ГАБАРИТНЫЙ РАЗМЕР КАЧЕЛЕЙ Д/Ш/В-75см/64см/119см   РАЗМЕР СПАЛЬНОГО МЕСТА 83-39см   ОСОБЕННОСТИ спинка регулируется в 3-х положениях     таймер на 8, 15 и 30 мин.     12 мелодий, звуки природы, водопад     регулятор громкости     8 скоростей качания     3 скорости вибрации     световые эффекты     питание от сети или от 4-х батареек типа АА и 1шт R20 (не входят в комплект)     управление через мобильное приложение AppleAPP и AndroidAPP         КОМПЛЕКТАЦИЯ адаптер питания     полозья для шезлонга     съемный столик     съемная подушка     5-ти точечные ремни безопасности     вращающийся мобиль с тремя игрушками  и проектором     москитная сетка   МАТЕРИАЛ ИЗДЕЛИЯ металл, пластик, ткань   КОРОБКА БРУТТО 8,7кг, НЕТТО 7кг. Размер 50х17,5х69 см","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/890533263_w640_h640_shezlong-detskij-30602.jpg,"Шезлонг детский 30602, розовый ***",30602,"В наличии",576813619,63364,"Габаритный размер: высота 55см, глубина 60см, ширина 51см<br />
 <br />
 Размер спального места – д69-ш38см<br />
 <br />
 Ремень безопасности - 3-х точечный<br />
 <br />
 Дуга, подвески 3шт<br />
 <br />
 Вибро<br />
 <br />
 Работает от батареек ( в комплект не входят)<br />
 <br />
 Упаковка - коробка, 49-34-8см<br />
 <br />
 Блок вибро – работает от 1 LR14<br />
 <br />
 Блок вибро+музыка - работает от 3-х LR14","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/890532177_w640_h640_shezlong-detskij-30606.jpg,"Шезлонг детский 30606, голубой *** ",30606,"В наличии",576812997,62244,"Габаритный размер: высота 55см, глубина 60см, ширина 51см<br />
 <br />
 Размер спального места – д69-ш38см<br />
 <br />
 Ремень безопасности - 3-х точечный<br />
 <br />
 Дуга, подвески 3шт<br />
 <br />
 Вибро<br />
 <br />
 Работает от батареек ( в комплект не входят)<br />
 <br />
 Упаковка - коробка, 49-34-8см<br />
 <br />
 Блок вибро – работает от 1 LR14<br />
 <br />
 Блок вибро+музыка - работает от 3-х LR14","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204611808_w640_h640_kolybel-kacheli-elektricheskaya-s.jpg,"Колыбель-качели электрическая с вращающеемся сиденьем музыкальная SG301-2 бежевая ***",SG301-2,"В наличии",722874612,260680,"р/у,эл.прив,вращ.сид.,карус, муз,5скор,2пол.спин,таймер,моск.сет,беж","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204615346_w640_h640_kolybel-kacheli-elektricheskaya-s.jpg,"Колыбель-качели электрическая с вращающеемся сиденьем музыкальная SG301-11-2 серая ***",SG301-11-2,"В наличии",722875797,260680,"р/у,эл.прив,вращ.сид.,карус, муз,5скор,2пол.спин,таймер,моск.сет,беж","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204590028_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером SG119-11 серая ***",SG119-11,"В наличии",722868644,2156,"р/у,эл.прив,5скор,таймер,муз, карус-3подв,2пол.спин,моск.сет,сер","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204606885_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером SG119-8 розовая ***",SG119-8,"В наличии",722872689,2184,"эл.прив,2в1(шезл),5скор,таймер, муз-15мел,зв.прир,карус-3подв,рег.спин,","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204603757_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером SG119-4 голубая ***",SG119-4,"В наличии",722872203,2184,"эл.прив,2в1(шезл),5скор,таймер, муз-15мел,зв.прир,карус-3подв,рег.спин,","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204594559_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером SG119-13 бежевая ***",SG119-13,"В наличии",722869138,2184,"эл.прив,2в1(шезл),5скор,таймер, муз-15мел,зв.прир,карус-3подв,рег.спин,беж","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
"Baby Tilly","Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204552892_w640_h640_kolybel-kacheli-3v1-bt-sc-0005.jpg,"Колыбель-качели 3в1 BT-SC-0005  Grey Planet ***",BT-SC-0005,"В наличии",722842873,2685,"Кресло-качалка отлично подойдет для новорожденного малыша. Мягкий дополнительный подголовник обеспечит комфорт для ребенка, а пятиточечные ремни позаботятся о его безопасности. Так же данное кресло обладает достойным набором развлечений: вращающийся музыкальный мобиль, 16 приятных мелодий и 5 звуков природы с регулировкой громкости, столик с ограничителем. Для более удобного пользования, кресло оборудовано таймером на 15, 30, 60 минут и пультом дистанционного управления. Кресло выполнено из высококачественных материалов. Прочная конструкция обеспечивает хорошую устойчивость, при компактных размерах. <br />
 <br />
 Характеристики товара <br />
 <br />
 Размер, ДхВхШ, см. 71x98x66 <br />
 Возраст От 0 месяцев <br />
 Макс. вес ребенка, кг. 12 <br />
 Ремень безопасности 5-ти точечный <br />
 Наклон спинки 3 положения <br />
 Звуковое сопровождение Есть <br />
 Питание Батареи 4х1.5V size C LR14/От сети <br />
 Аксессуары Вкладыш, съемный столик, мобиль, пульт ДУ","производитель = Baby Tilly,страна производитель = Китай,наличие ремней безопасности = Да,"
"Baby Tilly","Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204496437_w640_h640_kolybel-kacheli-tilly-nanny.jpg,"Колыбель-качели TILLY Nanny 3в1 BT-SC-0005 Green Dot  ***",BT-SC-0005,"В наличии",722813648,2674,"Кресло-качалка TILLY Nanny отлично подойдет для новорожденного малыша. Мягкий дополнительный подголовник обеспечит комфорт для ребенка, а пятиточечные ремни позаботятся о его безопасности. Так же данное кресло обладает достойным набором развлечений: вращающийся музыкальный мобиль, 16 приятных мелодий и 5 звуков природы с регулировкой громкости, столик с ограничителем. Для более удобного пользования, кресло оборудовано таймером на 15, 30, 60 минут . Кресло выполнено из высококачественных материалов. Прочная конструкция обеспечивает хорошую устойчивость, при компактных размерах.Характеристики товара<br />
 Размер, ДхВхШ, см.    71x98x66<br />
 Возраст    От 0 до 12 месяцев<br />
 Макс. вес ребенка, кг.    15<br />
 Ремень безопасности    5-ти точечный<br />
 Наклон спинки    3 положения<br />
 Звуковое сопровождение    Есть<br />
 Питание    Батареи  4х1.5V size C LR14/От сети<br />
 Аксессуары    Вкладыш, съемный столик, мобиль, ","производитель = Baby Tilly,страна производитель = Китай,наличие ремней безопасности = Да,"
"Baby Tilly","Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1204556612_w640_h640_kolybel-kacheli-3v1-bt-sc-0005.jpg,"Колыбель-качели 3в1 BT-SC-0005   Beige Dot***",BT-SC-0005,"В наличии",722844884,2685,"Кресло-качалка отлично подойдет для новорожденного малыша. Мягкий дополнительный подголовник обеспечит комфорт для ребенка, а пятиточечные ремни позаботятся о его безопасности. Так же данное кресло обладает достойным набором развлечений: вращающийся музыкальный мобиль, 16 приятных мелодий и 5 звуков природы с регулировкой громкости, столик с ограничителем. Для более удобного пользования, кресло оборудовано таймером на 15, 30, 60 минут и пультом дистанционного управления. Кресло выполнено из высококачественных материалов. Прочная конструкция обеспечивает хорошую устойчивость, при компактных размерах. <br />
 <br />
 Характеристики товара <br />
 <br />
 Размер, ДхВхШ, см. 71x98x66 <br />
 Возраст От 0 месяцев <br />
 Макс. вес ребенка, кг. 12 <br />
 Ремень безопасности 5-ти точечный <br />
 Наклон спинки 3 положения <br />
 Звуковое сопровождение Есть <br />
 Питание Батареи 4х1.5V size C LR14/От сети <br />
 Аксессуары Вкладыш, съемный столик, мобиль, пульт ДУ","производитель = Baby Tilly,страна производитель = Китай,наличие ремней безопасности = Да,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1104836304_w640_h640_detskaya-napolnaya-kachelistulchik.jpg,"Детская напольная качели+стульчик NA 02 A 10, голубая ***","NA 02 A 10","В наличии",674669367,90944,"3-точ.рем.безопастности, голубой с серым","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1104832011_w640_h640_detskaya-napolnaya-kachelistulchik.jpg,"Детская напольная качели+стульчик NA 02 A 20, розовая ***","NA 02 A 20","В наличии",674668392,90944,"3-точ.рем.безопастности, розовый с серым","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/1029733561_w640_h640_kolybel-kacheli-elektricheskaya-bambi.jpg,"Колыбель-качели электрическая Bambi с таймером SG111-4 голубой ***, фото 1",SG111-4,"В наличии",638042335,136276,"Характеристики модели:         ГАБАРИТНЫЙ РАЗМЕР КАЧЕЛЕЙ в собранном виде (Д/Ш/В) 63см/63см/63см     в сложенном виде 67-34-63см   БЛОК УПРАВЛЕНИЯ таймер 15мин/30мин/60мин     музыка да/звуки природы     свет +     кол-во скоростей 5     регулятор громкости +     от сети/батарейки да/4АА (в комплект не входят)   РАЗМЕР СПАЛЬНОГО МЕСТА Д/Ш 73см/43см   СПИНКА нерегулируемая 2 положния   РЕМЕНЬ БЕЗОПАСНОСТИ 5-ти точечный +   ДУГА  подвески  да/2шт-плюш   В КОМПЛЕКТЕ адаптер питания +     подушка +   МАТЕРИАЛ ИЗДЕЛИЯ   металл/пластик/ткань","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,съемный чехол = Сиденья,"
Bambi,"Детские кресла-качалки, шезлонги, качели",https://images.ua.prom.st/901401868_w640_h640_detskij-shezlong-kachalka-60685a.jpg,"Детский шезлонг-качалка 60685A ***",60685A,"В наличии",581615159,91364,"7 мелодий, вибро, 2 положения, съемная арка с игрушками, в кор-","производитель = Bambi,страна производитель = Китай,наличие ремней безопасности = Да,"
